timestamp,suhu,kelembaban,kecepatan_angin,arah_angin,tekanan_udara,intensitas_hujan
2025-09-22 10:34:02.191570,28.65,64,1.86,29,1012,0.0
2025-09-22 10:35:02.325098,28.65,64,1.86,29,1012,0.0
2025-09-22 10:36:02.547758,28.65,64,1.86,29,1012,0.0
2025-09-22 10:37:02.696813,28.65,64,1.86,29,1012,0.0
2025-09-22 10:38:02.839180,28.65,64,1.86,29,1012,0.0
2025-09-22 10:39:02.962605,28.65,64,1.86,29,1012,0.0
2025-09-22 10:40:03.100236,28.65,64,1.86,29,1012,0.0
2025-09-22 10:41:03.299179,28.65,64,1.86,29,1012,0.0
2025-09-22 10:42:03.404788,28.65,64,1.86,29,1012,0.0
2025-09-22 10:43:03.493509,28.65,64,1.86,29,1012,0.0
2025-09-22 10:44:03.858617,28.65,64,1.86,29,1012,0.0
2025-09-22 10:45:04.034156,28.65,64,1.86,29,1012,0.0
2025-09-22 10:46:04.236246,28.65,64,1.86,29,1012,0.0
2025-09-22 10:47:04.365238,28.65,64,1.86,29,1012,0.0
2025-09-22 10:48:04.513684,28.65,64,1.86,29,1012,0.0
2025-09-22 10:49:04.705800,28.65,64,1.86,29,1012,0.0
2025-09-22 10:50:04.850993,28.83,62,1.86,29,1012,0.0
2025-09-22 10:51:04.995045,28.83,62,1.86,29,1012,0.0
2025-09-22 10:52:05.120209,28.65,64,1.86,29,1012,0.0
2025-09-22 10:53:05.237533,28.65,64,1.86,29,1012,0.0
2025-09-22 10:54:05.364535,28.65,64,1.86,29,1012,0.0
2025-09-22 10:55:05.838824,28.65,64,1.86,29,1012,0.0
2025-09-22 10:56:06.101265,28.83,62,1.86,29,1012,0.0
2025-09-22 10:57:06.249165,28.83,62,1.86,29,1012,0.0
2025-09-22 10:58:06.410985,28.83,62,1.86,29,1012,0.0
2025-09-22 10:59:06.560404,28.83,62,1.86,29,1012,0.0
2025-09-22 11:00:06.687640,28.83,62,1.86,29,1012,0.0
2025-09-22 11:01:06.955758,28.83,62,1.86,29,1012,0.0
2025-09-22 11:02:07.076236,28.83,62,1.86,29,1012,0.0
2025-09-22 11:03:07.310384,28.83,62,1.86,29,1012,0.0
2025-09-22 11:04:07.422865,28.83,62,1.86,29,1012,0.0
2025-09-22 11:05:07.536348,28.83,62,1.86,29,1012,0.0
2025-09-22 11:06:07.881712,28.83,62,1.86,29,1012,0.0
2025-09-22 11:07:08.069955,28.83,75,1.86,29,1012,0.0
2025-09-22 11:08:10.594928,28.83,62,1.86,29,1012,0.0
2025-09-22 11:09:11.563086,28.83,62,1.86,29,1012,0.0
2025-09-22 11:10:11.771806,28.83,62,1.86,29,1012,0.0
2025-09-22 11:11:11.989367,28.83,62,1.86,29,1012,0.0
2025-09-22 11:12:12.206990,28.83,75,1.86,29,1012,0.0
2025-09-22 11:13:12.458268,28.83,75,1.86,29,1012,0.0
2025-09-22 11:14:12.614830,28.83,75,1.86,29,1012,0.0
2025-09-22 11:15:12.882532,28.83,75,1.86,29,1012,0.0
2025-09-22 11:16:13.162830,28.83,75,1.86,29,1012,0.0
2025-09-22 11:17:13.561751,28.83,75,1.86,29,1012,0.0
2025-09-22 11:18:13.731517,28.83,75,1.86,29,1012,0.0
2025-09-22 11:19:13.925399,28.83,75,1.86,29,1012,0.0
2025-09-22 11:20:14.122204,28.83,75,1.86,29,1012,0.0
2025-09-22 11:21:14.267514,28.83,75,1.86,29,1012,0.0
2025-09-22 11:22:14.410701,28.83,75,1.86,29,1012,0.0
2025-09-22 11:23:14.585227,28.83,75,1.86,29,1012,0.0
2025-09-22 11:24:14.729633,28.83,75,1.86,29,1012,0.0
2025-09-22 11:25:14.871437,28.85,75,1.86,29,1012,0.0
2025-09-22 11:26:15.099927,28.85,75,1.86,29,1012,0.0
2025-09-22 11:27:15.279836,28.85,75,1.86,29,1012,0.0
2025-09-22 11:28:15.397357,28.85,75,1.86,29,1012,0.0
2025-09-22 11:29:15.517121,28.85,75,1.86,29,1012,0.0
2025-09-22 11:30:15.639397,28.85,75,1.86,29,1012,0.0
2025-09-22 11:31:15.769976,28.85,75,1.86,29,1012,0.0
