timestamp,suhu,kelembaban,kecepatan_angin,arah_angin,tekanan_udara,intensitas_hujan,intensitas_cahaya
2025-09-29 15:30:00,26.0,69,0.8,164,1015.0,0.0,16411.5
2025-09-29 15:35:00,25.9,71,1.0,239,1013.6,0.0,16543.2
2025-09-29 15:50:00,25.8,71,0.5,253,1012.3,0.0,14262.6
2025-09-29 15:55:00,25.8,71,0.5,229,1012.4,0.0,12664.9
2025-09-29 16:00:00,25.6,72,0.8,234,1012.4,0.0,11299.1
2025-09-29 16:05:00,25.5,73,0.4,206,1012.8,0.0,10646.6
2025-09-29 16:10:00,25.4,73,0.8,243,1012.9,0.0,9920.6
2025-09-29 16:15:00,25.4,73,0.7,260,1012.9,0.0,10488.2
2025-09-29 16:20:00,25.5,73,0.5,253,1012.9,0.0,10362.8
2025-09-29 16:25:00,25.5,72,0.6,290,1012.8,0.0,8870.3
2025-09-29 16:30:00,25.6,71,0.4,274,1012.8,0.0,7254.8
2025-09-29 16:35:00,25.7,71,0.6,260,1012.9,0.0,7085.1
2025-09-29 16:40:00,25.6,71,0.6,229,1012.8,0.0,6224.8
2025-09-29 16:45:00,25.4,72,0.5,210,1012.8,0.0,6317.3
2025-09-29 16:50:00,25.3,72,1.1,200,1013.0,0.0,6300.8
2025-09-29 16:55:00,25.3,72,0.8,211,1013.1,0.0,5351.8
2025-09-29 17:00:00,25.3,72,0.4,219,1013.2,0.0,4482.6
2025-09-29 17:05:00,25.5,71,0.4,276,1013.1,0.0,4239.4
2025-09-29 17:10:00,25.5,71,0.7,286,1013.1,0.0,3579.3
2025-09-29 17:15:00,25.5,72,0.9,268,1013.3,0.0,2696.2
2025-09-29 17:20:00,25.4,73,0.5,267,1013.3,0.0,2001.9
2025-09-29 17:25:00,25.3,71,0.8,280,1013.5,0.0,1549.5
2025-09-29 17:30:00,25.3,70,1.2,280,1013.6,0.0,1074.4
2025-09-29 17:35:00,25.2,70,0.6,282,1013.7,0.0,593.0
2025-09-29 17:40:00,25.1,72,1.0,283,1013.6,0.0,277.5
2025-09-29 17:45:00,24.9,73,1.1,281,1013.7,0.0,169.8
2025-09-29 17:50:00,24.6,76,0.9,272,1013.7,0.0,65.9
2025-09-29 17:55:00,24.4,77,1.6,280,1013.8,0.0,16.5
2025-09-29 18:00:00,24.2,78,1.1,259,1013.8,0.0,3.8
2025-09-29 18:05:00,24.1,78,1.0,272,1013.9,0.0,0.0
2025-09-29 18:10:00,24.0,79,0.8,299,1014.1,0.0,0.0
2025-09-29 18:15:00,24.0,79,0.8,274,1014.3,0.0,0.0
2025-09-29 18:20:00,24.0,79,1.0,298,1014.3,0.0,0.0
2025-09-29 18:25:00,24.0,80,0.7,304,1014.5,0.0,0.0
2025-09-29 18:30:00,23.9,80,1.1,326,1014.4,0.0,0.0
2025-09-29 18:35:00,23.9,80,0.5,337,1014.6,0.0,0.0
2025-09-29 18:40:00,23.9,80,1.2,305,1014.5,0.0,0.0
2025-09-29 18:45:00,23.8,80,0.9,340,1014.6,0.0,0.0
2025-09-29 18:50:00,23.8,80,0.8,310,1014.4,0.0,0.0
2025-09-29 18:55:00,23.8,80,0.7,293,1014.4,0.0,0.0
2025-09-29 19:00:00,23.8,80,0.3,326,1014.6,0.0,0.0
2025-09-29 19:05:00,23.8,80,0.8,318,1014.6,0.0,0.0
2025-09-29 19:10:00,23.8,80,0.4,302,1014.8,0.0,0.0
2025-09-29 19:15:00,23.8,79,0.2,335,1015.0,0.0,0.0
2025-09-29 19:20:00,23.8,79,0.3,330,1015.1,0.0,0.0
2025-09-29 19:25:00,23.9,79,0.2,321,1015.0,0.0,0.0
2025-09-29 19:30:00,23.9,79,0.1,321,1015.0,0.0,0.0
2025-09-29 19:35:00,23.9,79,0.4,350,1015.2,0.0,0.0
2025-09-29 19:40:00,24.1,78,1.0,36,1015.2,0.0,0.0
2025-09-29 19:45:00,24.1,78,0.8,33,1015.3,0.0,0.0
2025-09-29 19:50:00,24.1,78,1.3,42,1015.3,0.0,0.0
2025-09-29 19:55:00,23.6,77,1.7,44,1015.5,0.0,0.0
2025-09-29 20:00:00,23.1,79,1.1,37,1015.5,0.0,0.0
2025-09-29 20:05:00,22.7,80,1.2,39,1015.7,0.0,0.0
2025-09-29 20:10:00,22.3,84,0.8,43,1015.7,1.8,0.0
2025-09-29 20:15:00,22.0,86,0.2,176,1015.8,3.0,0.0
2025-09-29 20:20:00,21.9,87,0.3,208,1015.9,3.0,0.0
2025-09-29 20:25:00,21.7,89,0.3,161,1016.0,3.0,0.0
2025-09-29 20:30:00,21.5,90,0.4,166,1016.0,4.8,0.0
